受付番号,受付日,発行日,依頼者名,部,課,担当者,品番,品名,色,試験基準,製品検査,生地検査,付属,ロット
Q2726005919,2026-04-30,2026-05-07,山&#19996;省&#28493;坊市&#36827;出口有限公司,レディ－スカジュアル,,レディ-スカジュアル,30633LR ,パジャマ,67製品、白シックテープ,しまむら,,合格,,
Q2726005630,2026-04-30,2026-05-07,青&#23707;吉利基&#19994;&#36152;易公司,紳士ナイティー,,紳士ナイティー,11633TR ,パジャマ,67、白シックテープ,しまむら,,合格,,
Q2726005923,2026-04-30,2026-05-07,山&#19996;省&#28493;坊市&#36827;出口有限公司,婦人ナイティー,,婦人ナイティー,4063FHA ,婦人パジャマ,N3製品、N9本体、N9製品、白テープ、黒リブ部分、グレーテープ、グレーリブ部分,しまむら,合格,合格,,
Q2726005921,2026-04-30,2026-05-07,山&#19996;省&#28493;坊市&#36827;出口有限公司,婦人ナイティー,,婦人ナイティー,4063EHA ,婦人パジャマ,N3天テープ、N3製品、N8天テープ、N8本体、N8製品、白シックテープ,しまむら,合格,合格,,
61526009001,2026-04-30,2026-05-07,??浅叶有限公司,岡山,,尾森,Z0630GA ,シールワッペン,※、製品,しまむら,合格,合格,,
Q2726005874,2026-04-30,2026-05-07,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),レディ－スカジュアル,,レディ-スカジュアル,Y563PMA/Y564BMA ,生地,N0身生地、N0リブ、N9身生地、N9リブ,しまむら,合格,,,
Q2726005897,2026-04-30,2026-05-07,青&#23707;呈?服装有限公司,キッズカジュアル,,キッズカジュアル,G5636WZ ,Tシャツ,03ピンク,しまむら,,合格,,
Q2726005899,2026-04-30,2026-05-08,青&#23707;呈?服装有限公司,キッズカジュアル,,キッズカジュアル,G5634WZ ,Tシャツ,82製品、82リボン、白レース,しまむら,合格,合格,,
Q2726005657,2026-04-29,2026-05-06,青&#23707;吉利基&#19994;&#36152;易公司,紳士ナイティー,,紳士ナイティー,12631RR ,紳士パジャマ,67製品、ネイビー
パイピング、ネイビー刺繍、ネイビー本体,しまむら,合格,合格,,
61026009285,2026-04-29,2026-05-06,祥安服装如&#19996;有限公司,岡山,,平松,BW6B48Z ,マインクラフト 男児2Pボクサー,65ブルー、N9ブラック、チャコールゴム、ブラック本体、ブルー本体、モスグリーンゴム,しまむら,合格,合格,,
61526008875,2026-04-29,2026-05-06,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,E563AYR ,半袖Tシャツ,製品,しまむら,,合格,,
Q2726005753,2026-04-29,2026-04-30,&#23425;波日恒&#36827;出口有限公司,レディ－スカジュアル,,レディ-スカジュアル,Y6630ZR ,パッド,白、ブラック,しまむら,合格,,,
Q2726005797,2026-04-29,2026-05-06,青&#23707;伊美瑛国&#38469;&#36152;易有限公司,レディ－スカジュアル,,レディ-スカジュアル,Y5632RA ,Tシャツ,N9本体、N9製品,しまむら,合格,合格,,
Q2726005837,2026-04-29,2026-05-06,山&#19996;省&#28493;坊市&#36827;出口有限公司,婦人ナイティー,,婦人ナイティー,4163DHA ,パジャマ,03製品、82製品、白シックテープ、白パイピング,しまむら,,合格,,
Q2726005799,2026-04-29,2026-05-06,青&#23707;伊美瑛国&#38469;&#36152;易有限公司,レディ－スカジュアル,,レディ-スカジュアル,Y5631RA ,Tシャツ,N9本体、N9製品,しまむら,合格,合格,,
61026009194,2026-04-28,2026-04-30,如皋帝晨服&#39280;有限公司,岡山,,伊藤,216348A(216348ア)No.1:GNE-671 No.2:GNE-672No.3:GNE-673 No.4～6:GNE-670R ,生地(パジャマ),63サックス本体、63サックスリブ、67ネイビー本体、67ネイビーリブ、N9ブラック本体、N9ブラックリブ、サックス紐、サックス背首テープ、ネイビー紐、ネイビー背首テープ、ブラック紐、ブラック背首テープ,しまむら,合格,,,
Q2726005439,2026-04-28,2026-04-30,青&#23707;紫?国&#38469;&#36152;易有限公司,ライフグッズ,,ライフグッズ,1T623ER ,ウエストバッグ,N0ホワイト,しまむら,,合格,,
Q2726005819,2026-04-28,2026-04-30,Grand Concord Garment(Hong Kong) Limited&#35832;城裕泰&#38024;&#32455;有限公司（广豪）,アンダーウェア,,婦人アンダーウェア　笹田,94621QR ,ハーフトップ,N9製品、黒肩ゴム、黒裾ゴム,しまむら,合格,合格,,
Q2726005824,2026-04-28,2026-05-06,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),子供ナイティー,,子供ナイティー,66645AR ,パジャマ,N7製品、白シックテープ、黒本体、チャコールリブ,しまむら,合格,合格,,
Q2726005851,2026-04-28,2026-04-30,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),子供ナイティー,,子供ナイティー,66647YR ,パジャマ,15製品、65製品、N9製品、白
シックテープ、黒
リブ部分、黒本体、チャコール
