"品番","納入先","合格色","不合格色","工場名","発行番号","生地合否判定","合否判定","受付日","製品合否判定","部署","共有メモ","共有チェック"
"X4621ER","㈱しまむら","1","","","DL-26-009623","合格","合格","2026/04/17","合格(追試:合格)","","","0"
"X4629RR","㈱しまむら","2","","","DL-26-009632","合格","合格","2026/04/17","合格(追試:合格)","","","0"
"X563DER","㈱しまむら","2","","","DL-26-009636","合格","合格","2026/04/17","合格(追試:合格)","","","0"
"C5630DA","㈱しまむら","3","","","DL-26-009638","合格","合格","2026/04/17","合格(追試:合格)","","","0"
"C5630HA","㈱しまむら","3","","","DL-26-009640","合格","合格","2026/04/17","合格(追試:合格)","","","0"
"C563QMA","㈱しまむら","1","","","DL-26-009652","合格","合格","2026/04/17","合格〈コメント有〉","","","0"
"C563RMA","㈱しまむら","1","","","DL-26-009658","合格","合格","2026/04/17","合格〈コメント有〉","","","0"
"C5631HA/C5631DA","㈱しまむら","8","","","DL-26-009660-1","合格","合格","2026/04/17","","","","0"
"C4636MA","㈱しまむら","1","","","DL-26-009663","合格","合格","2026/04/17","合格(追試:合格)〈コメント有〉","","","0"
"MB1027C/YL22006/YL22066","㈱しまむら","2","","KDW 大連万林進出口有限公司","DL-26-009679-1","合格","合格","2026/04/17","合格(追試:合格)〈コメント有〉","","","0"
"MB1027C/YL22006/YL22066","㈱しまむら","1","","KDW 大連万林進出口有限公司","DL-26-009679-2","合格","合格","2026/04/17","合格(追試:合格)","","","0"
"41650HA","㈱しまむら","1","","","DL-26-009750","合格","合格","2026/04/20","","","","0"
"4363F8R","㈱しまむら","2","","","DL-26-009844","合格","合格","2026/04/20","","","","0"
"X4622RR/X4624RR/X5630RR/X5632RR/X5633RR/X6621RR/X6622RR/X5631WR/X4626RR/X6623RR/X4629RR/X6624RR","㈱しまむら","4","","","DL-26-009911","合格","合格","2026/04/20","","","","0"
"ER630BR","㈱しまむら","","","","DL-26-009145","","合格","2026/04/13","合格","","","0"
"ER630QZ","㈱しまむら","2","","","DL-26-009512","合格","合格","2026/04/16","","","","0"
"C4632MA","㈱しまむら","1","","","DL-26-009840-1","合格","合格","2026/04/17","","","","0"
"C4634MA","㈱しまむら","1","","","DL-26-009841-1","合格","合格","2026/04/17","","","","0"
"X5630QR","㈱しまむら","3","","","DL-26-009010","合格","合格","2026/04/10","合格(追試:合格)","","","0"
"X4631RR/X4632RR/X5637RR/X5638RR/X5639RR","㈱しまむら","3","","","DL-26-009403","合格","合格","2026/04/15","","","","0"
"C563NMA","㈱しまむら","4","","","DL-26-009419","合格","合格","2026/04/15","合格(追試:合格)","","","0"
"C563MMA","㈱しまむら","4","","","DL-26-009423","合格","合格","2026/04/15","合格(追試:合格)","","","0"
"C4635MA","㈱しまむら","1","","","DL-26-009441","合格","合格","2026/04/15","合格(追試:合格)〈コメント有〉","","","0"
"4063E8R","㈱しまむら","1","","","DL-26-009481","合格","合格","2026/04/16","","","","0"
"41650HA","㈱しまむら","1","","","DL-26-009482","合格","合格","2026/04/16","","","","0"
"X4630HR/X4631HR/X4632HR/X5630HR/X5631HR/X5632HR/X4632ER/X4630QR/X5630QR","㈱しまむら","3","","","DL-26-009630","合格","合格","2026/04/16","","","","0"
"MB1025C/YL22006/YL220066/迷彩","㈱しまむら","1","","KDW 大連万林進出口有限公司","DL-26-009183-1","合格","合格","2026/04/13","合格(追試:合格)〈コメント有〉","","","0"
"MB1025C/YL22006/YL220066/迷彩","㈱しまむら","1","","KDW 大連万林進出口有限公司","DL-26-009183-2","合格","合格","2026/04/13","合格(追試:合格)","","","0"
"MB1025C/YL22006/YL220066/迷彩","㈱しまむら","1","","KDW 大連万林進出口有限公司","DL-26-009183-3","合格","合格","2026/04/13","合格〈コメント有〉","","","0"
"Z5630HA","㈱しまむら","","","","DL-26-009323","","合格","2026/04/14","合格(追試:合格)〈コメント有〉","","","0"
"EM631UR/ER630UR/ER631UR/EM630QZ/ER630QZ","㈱しまむら","6","","","DL-26-009343","合格","合格","2026/04/14","","","","0"
